Abertamy;50.3769;12.8347
Adamov;49.0054;14.5520
Adamov;49.3019;16.6624
Adamov;49.8524;15.3988
Adršpach;50.6187;16.0957
Albrechtice nad Orlicí;50.1399;16.0430
Albrechtice nad Vltavou;49.2849;14.3051
Albrechtice v Jizerských horách;50.7868;15.2783
Albrechtice;49.7867;18.5285
Albrechtice;49.9279;16.6610
Albrechtičky;49.7035;18.1023
Alojzov;49.4250;17.0398
Andělská Hora;50.0838;17.3767
Andělská Hora;50.2065;12.9556
Anenská Studánka;49.8412;16.5467
Archlebov;49.0634;16.9960
Arneštovice;49.5317;15.1198
Arnolec;49.4405;15.8143
Arnoltice;50.8384;14.2504
Aš;50.2215;12.2272
Babice nad Svitavou;49.2855;16.6875
Babice u Rosic;49.1775;16.3504
Babice;49.0297;14.2338
Babice;49.1278;17.4790
Babice;49.1334;15.7552
Babice;49.7448;17.2711
Babice;50.0069;14.7242
Babice;50.1948;15.5904
Babylon;49.3941;12.8531
Bakov nad Jizerou;50.4808;14.9345
Baliny;49.3379;15.9592
Balkova Lhota;49.4516;14.5998
Bantice;48.8747;16.1760
Banín;49.6681;16.4394
Barchov;50.0037;15.6749
Barchov;50.2026;15.5668
Barchovice;49.9367;14.9402
Bartoušov;49.5789;15.6434
Bartošovice v Orlických horách;50.2010;16.5307
Bartošovice;49.6651;18.0393
Batelov;49.2988;15.3834
Batňovice;50.5210;16.0359
Bavorov;49.1239;14.0798
Bavory;48.8327;16.6158
Bavoryně;49.8935;13.9553
Bačalky;50.3859;15.1672
Bačetín;50.2987;16.2322
Bačice;49.0823;16.0176
Bačkov;49.7382;15.4640
Bačkovice;48.9641;15.5840
Bařice-Velké Těšany;49.2450;17.4043
Baška;49.6360;18.3636
Bašnice;50.3318;15.5963
Bašť;50.2097;14.4719
Bdeněves;49.7664;13.2241
Bdín;50.2166;13.8546
Bechlín;50.4265;14.3443
Bechyně;49.3057;14.4566
Bedihošť;49.4439;17.1534
Bednárec;49.1939;15.1041
Bednáreček;49.2057;15.1393
Bedřichov;49.4651;16.4581
Bedřichov;50.8106;15.1601
Benecko;50.6513;15.5401
Benetice;49.2995;15.8635
Benešov nad Ploučnicí;50.7468;14.2959
Benešov nad Černou;48.7320;14.6290
Benešov u Semil;50.6078;15.3728
Benešov;49.5205;16.7839
Benešov;49.7929;14.6806
Benešovice;49.7339;12.9041
Benátky nad Jizerou;50.2856;14.8377
Benátky;49.8534;16.3305
Benátky;50.3112;15.7321
Bernardov;50.0147;15.3992
Bernartice nad Odrou;49.6157;17.9520
Bernartice;49.3652;14.4016
Bernartice;49.6913;15.1166
Bernartice;50.3845;17.0796
Bernartice;50.6439;15.9623
Beroun;49.9712;14.0762
Besednice;48.7903;14.5615
Bezdružice;49.9138;12.9436
Bezdědovice;49.4500;13.8889
Bezděkov nad Metují;50.5097;16.2246
Bezděkov pod Třemšínem;49.5791;13.8820
Bezděkov;49.3898;13.2057
Bezděkov;49.7296;15.7328
Bezděkov;49.8250;13.5927
Bezděkov;50.0073;15.6531
Bezděz;50.5406;14.7129
Bezděčí u Trnávky;49.6976;16.7674
Bezkov;48.8732;15.9404
Bezměrov;49.3320;17.3384
Bezno;50.3640;14.7941
Bezuchov;49.4648;17.6046
Bezvěrov;49.9978;13.0723
Bečice;49.2243;14.5058
Bečice;49.3770;14.5506
Bečov nad Teplou;50.0885;12.8484
Bečov;50.4511;13.6964
Bečváry;49.9503;15.0855
Beňov;49.4190;17.4984
Beřovice;50.2659;14.1123
Biskoupky;49.1027;16.2673
Biskupice-Pulkov;49.0436;16.0051
